,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
10,Men in Black: International ,,"Action; 
Comedy; 
Sci-Fi",14 June 2019,,F. Gary Gray,Tessa Thompson;Rebecca Ferguson;Chris Hemsworth;Liam Neeson;Emma Thompson;Rafe Spall;Davina Sitaram;Viktorija Faith;Nasir Jama;Kumail Nanjiani;Penelope Kapudija;Natasha Culzac;Elle Black;Stephen Wight;Anatole Taubman,,,
11,Fantastic Beasts: The Crimes of Grindelwald ,PG,"Adventure; 
Family; 
Fantasy",16 November 2018,6.8,David Yates,Johnny Depp;Kevin Guthrie;Carmen Ejogo;Wolf Roth;Eddie Redmayne;Zoë Kravitz;Callum Turner;Derek Riddell;Cornell John;Ezra Miller;Ingvar Eggert Sigurðsson;Poppy Corby-Tuech;Andrew Turner;Maja Bloom;Simon Meacock,200000000,134,
12,Mowgli ,PG-13,"Adventure; 
Drama; 
Fantasy",7 December 2018,6.6,Andy Serkis,Christian Bale;Cate Blanchett;Benedict Cumberbatch;Naomie Harris;Andy Serkis;Peter Mullan;Jack Reynor;Eddie Marsan;Tom Hollander;Matthew Rhys;Freida Pinto;Rohan Chand;Keveshan Pillay;Louis Ashbourne Serkis;Moonsamy Narasigadu,,,
13,Venom ,,"Action; 
Sci-Fi",5 October 2018,6.8,Ruben Fleischer,Tom Hardy;Michelle Williams;Riz Ahmed;Scott Haze;Reid Scott;Jenny Slate;Melora Walters;Woody Harrelson;Peggy Lu;Malcolm C. Murray;Sope Aluko;Wayne Pére;Michelle Lee;Kurt Yue;Chris O'Hara,100000000,112,
14,Welcome to Marwen ,PG,,21 December 2018,5.5,Robert Zemeckis,Steve Carell;Falk Hentschel;Matt O'Leary;Nikolai Witschl;Patrick Roccas;Alexander Lowe;Eiza González;Leslie Zemeckis;Merritt Wever;Gwendoline Christie;Stefanie von Pfetten;Janelle Monáe;Leslie Mann;Neil Jackson;Samantha Hum,39000000,116,
15,Zero ,PG,"Comedy; 
Drama; 
Romance",21 December 2018,6.3,Aanand L. Rai,Shah Rukh Khan;Anushka Sharma;Katrina Kaif;Mohammed Zeeshan Ayyub;Abhay Deol;Ganesh Acharya;Spencer Allport;Alan Applegate;Sophia Arrington;Tatiana Beauchamp;Bryan Benfield;Alia Bhatt;Jude Biancone;Bill Billions;Jermaine Boswell,,164,
16,Bohemian Rhapsody ,PG,,2 November 2018,8.3,Bryan Singer,Rami Malek;Lucy Boynton;Gwilym Lee;Ben Hardy;Joseph Mazzello;Aidan Gillen;Allen Leech;Tom Hollander;Mike Myers;Aaron McCusker;Meneka Das;Ace Bhatti;Priya Blackburn;Dermot Murphy;Dickie Beau,52000000,134,433000000
17,A Simple Favor ,,"Comedy; 
Crime; 
Drama",14 September 2018,7.0,Paul Feig,Anna Kendrick;Ian Ho;Joshua Satine;Glenda Braganza;Andrew Rannells;Kelly McCormack;Aparna Nancherla;Jiah Mavji;Ava LaFramboise;Blake Lively;Henry Golding;Dustin Milligan;Danielle Bourgon;Gia Sandhu;Lila Yee,20000000,117,
18,Vice ,,,25 December 2018,7.0,Adam McKay,Christian Bale;Amy Adams;Steve Carell;Sam Rockwell;Alison Pill;Eddie Marsan;Justin Kirk;LisaGay Hamilton;Jesse Plemons;Bill Camp;Don McManus;Lily Rabe;Shea Whigham;Stephen Adly Guirgis;Tyler Perry,60000000,132,
19,The House That Jack Built ,,"Drama; 
Horror",17 October 2018,7.1,Lars von Trier,Matt Dillon;Bruno Ganz;Uma Thurman;Siobhan Fallon Hogan;Sofie Gråbøl;Riley Keough;Jeremy Davies;Jack McKenzie;Ed Speleers;David Bailie;Mathias Hjelm;Ji-tae Yu;Emil Tholstrup;Marijana Jankovic;Carina Skenhede,,152,
