,babynysiis,perc_female,perc_male,gender
619,TRAGAN,0.0,100.0,M
620,ANALC,100.0,0.0,F
621,ADANATAW,0.0,100.0,M
622,BANAN,9.09,90.91,M
623,SAVYAN,0.0,100.0,M
624,BARN,43.48,56.52,M
625,CANANAN,100.0,0.0,F
626,STAL,40.0,60.0,M
627,LAVATH,50.0,50.0,N
628,JARAD,13.64,86.36,M
629,NARNANAD,0.0,100.0,M
630,HARLAD,33.33,66.67,M
631,VANBARAN,0.0,100.0,M
632,EARAL,0.0,100.0,M
633,ETYL,100.0,0.0,F
634,MARACR,100.0,0.0,F
635,GARY,42.86,57.14,M
636,BATHSABATH,100.0,0.0,F
637,MAXTAN,16.67,83.33,M
638,BRATANY,97.44,2.5600000000000023,F
639,ONACACACW,0.0,100.0,M
640,MYCYLY,100.0,0.0,F
641,CALAG,28.57,71.43,M
642,CYCAN,16.67,83.33,M
643,ALAGHS,100.0,0.0,F
644,TALAD,42.86,57.14,M
645,YALAND,91.3,8.700000000000003,F
646,LYCASTAR,0.0,100.0,M
647,JANDRY,0.0,100.0,M
648,RAFAL,40.0,60.0,M
649,RABAR,33.33,66.67,M
650,CRASALY,100.0,0.0,F
651,EVALAGH,100.0,0.0,F
652,AVNAT,50.0,50.0,N
653,MANRAT,100.0,0.0,F
654,CALDRAN,0.0,100.0,M
655,JASARY,60.0,40.0,F
656,SARNANAG,100.0,0.0,F
657,NAJ,71.43,28.569999999999997,F
658,DARLAC,100.0,0.0,F
659,HARATH,0.0,100.0,M
660,MYCAL,33.33,66.67,M
661,IDRY,0.0,100.0,M
662,ELSAR,66.67,33.33,F
663,OSAN,47.83,52.17,M
664,SRAST,88.89,11.11,F
665,DATSAN,50.0,50.0,N
666,IC,73.33,26.67,F
667,DAVAJ,50.0,50.0,N
668,NYTAR,100.0,0.0,F
669,CALBARN,0.0,100.0,M
670,HADAJ,100.0,0.0,F
671,BARGAT,100.0,0.0,F
672,ASAL,74.07,25.93000000000001,F
